Job Title,Company,Location,Source,Link,Application Status,Date Added,Date Applied,Resume Version,Cover Letter,Notes
Delivery Walker,,Sydney NSW 2000,Indeed,,To Apply,28.10.2025,,,,
Online Customer Service Officer - Christmas Casual,Harvey Norman,Homebush West NSW,Harvey Norman Careers,https://www.harveynormancareers.com.au/hn/en/job/571124/customer-service-representative-christmas-casual?source=IND,To Apply,11.11.2025,,,,Supports Harvey Norman Domayne & Joyce Mayne brands. Fast-paced online customer service. Immediate start + Christmas period. Job #571124
National Seasonal Retail Postage Sorter,,Multiple Locations Nationwide,Australia Post,,To Apply,28.10.2025,,,,
JUNIOR DATA ENTRY AUDITING,,Peakhurst NSW 2210,Indeed,,To Apply,28.10.2025,,,,
Fair Work Adviser,,Sydney NSW,SEEK,,To Apply,28.10.2025,,,,
MOBILE SPEED CAMERA OPERATOR,,Silverwater Sydney NSW,SEEK,,To Apply,28.10.2025,,,,
Control Room Operator - Casual,,Sydney - CBD Inner West Eastern Subs,G4S Careers,,To Apply,28.10.2025,,,,
Christmas Casual Helper,,Ryde NSW,Indeed,,To Apply,28.10.2025,,,,
Pharmacy Assistant - Expression of Interest,Chemist Warehouse,Multiple Locations Nationwide,Chemist Warehouse Careers,https://careers.chemistwarehouse.com/job/Pharmacy-Assistant-Opportunities-Expression-of-Interest/1063701066/,To Apply,11.11.2025,,,,PT/FT/Casual available. Customer service focused. S2/S3 training or Community Pharmacy certs I-III bonus.
